day,t,slot1_parent_id,slot1_action,slot2_parent_id,slot2_action,slot3_parent_id,slot3_action,slot4_parent_id,slot4_action,slot5_parent_id,slot5_action,slot6_parent_id,slot6_action
0,21601.0,500000997,Assess morning routine to maintain health,500025972,Assess daily needs and make a shopping list,500045288,Wake up and perform stretching exercises,500046127,Check weather conditions,500053474,Assess current income and consumption level,500054656,Wake up and stretch
0,25201.0,500000997,Partake in a light morning exercise to stay active,500025972,Review current budget and financial situation,500045288,Prepare a healthy breakfast,500046127,Determine the necessity and list items to buy,500053474,List necessary items for shopping,500054656,Prepare a light breakfast
0,28801.0,500000997,Assess current energy levels,500025972,Get ready to go shopping by changing into comfortable clothing,500045288,Read the morning newspaper,500046127,Plan the route to the nearest shopping center,500053474,Prepare shopping list and wallet,500054656,Assess sleepiness level
0,32401.0,500000997,"If feeling tired, lie down in bed",500001748,Evaluate nearby options for eating,500025972,Check the time and traffic conditions for optimal departure time,500045288,Engage in light gardening or household chores,500053474,Choose the nearest grocery store or shopping center,500054656,Prepare a comfortable sleep environment
0,36001.0,500000997,Dim the lights to create a restful environment,500001748,Select a suitable eating location based on reviews and distance,500025972,Start preparing a meal,500045288,Prepare or purchase ingredients,500053474,Start preparing a meal,500054656,Ensure the room is at an appropriate temperature
0,39601.0,500000997,Engage in light reading or meditation to calm down,500001748,Travel to the selected eating location,500025972,Enjoy a home-cooked meal,500045288,Start cooking the meal,500053474,Prepare and heat up leftovers if available,500054656,Relax and transition into a state suitable for sleep
0,43201.0,500000997,Close the curtains to block out sunlight,500025972,Ensure all required ingredients are available,500045288,Serve the meal,500053474,Serve the meal,500054656,Prepare the kitchen,500063567,Enjoy the meal
0,46801.0,500000997,Set an alarm for morning if needed,500025972,Start cooking a home-cooked meal,500045288,Consume the meal,500053474,Sit down and enjoy the meal,500054656,Choose a recipe based on available ingredients,500063567,Review the meal and consider future dining options
0,50401.0,500000997,Prepares for meal,500025972,Prepare dining area for meal,500045288,Clean up after eating,500053474,Wash the dishes after eating,500054656,Begin cooking the meal,500063567,Return to the original location after meal
0,54001.0,500000997,Prepares ingredients,500006251,Head towards home,500025972,Enjoy the meal at home,500045288,Enjoy the meal in a comfortable setting,500053474,Reflect on the meal and enjoy the comfort of being at home,500054656,Set the table with appropriate cutlery and place settings
0,57601.0,500000997,Start cooking,500025972,Clean up after eating,500045288,Relax and prepare for sleep,500046127,Open the door and enter the house,500053474,Ensure a comfortable sleeping environment,500054656,Serve the meal once cooked
0,61201.0,500000997,Prepare dining area,500025972,Reflect on the meal experience,500045288,Dim the lights to create a sleep-friendly environment,500046127,Change into comfortable clothes,500053474,Prepare for sleep by changing into comfortable pajamas,500054656,Enjoy the meal alone or with family if available
0,64801.0,500000997,Serve food,500025972,Prepare for sleep by ensuring the room is comfortable,500045288,Adjust the room temperature to a comfortable level for sleep,500046127,Relax in a quiet room,500053474,Relax before sleep,500054656,Prepare for sleep by changing into comfortable pajamas
0,68401.0,500000997,Enjoy the meal,500025972,Adjust room temperature if necessary to 23C,500045288,Prepare a comfortable sleep environment,500046127,Prepare for sleep by setting the room temperature and darkness level,500053474,Prepare for sleep by setting up the sleeping environment,500054656,Turn off all electronic devices to reduce light exposure
0,72001.0,500000997,Enjoy the meal,500025972,Engage in a relaxing activity to calm the mind before sleep,500045288,Wind down and relax,500046127,Lie down in the bed,500053474,Assess the current environment,500054656,Set up a comfortable sleeping environment with appropriate bedding
0,75601.0,500000997,Ensure a comfortable sleeping environment,500025972,Ensure all necessary items for sleep are within reach,500045288,Set up a sleep schedule,500046127,Prepare the kitchen for cooking,500053474,Engage in a relaxing activity such as reading or listening to music,500054656,"Engage in a calming activity, such as reading or listening to soothing music, to relax the mind"
0,79201.0,500000997,Turn off electronic devices,500025972,Retire to the bedroom,500045288,Get into bed at a reasonable time,500046127,Select a recipe considering the current season and your preference,500053474,Engage in a relaxing activity such as reading or listening to music,500054656,Perform a bedtime routine to signal to the body that it's time to sleep
0,82801.0,500000997,Prepare to go to bed,500025972,Lay down in the bed and follow the normal sleep routine,500045288,Engage in a calming activity to induce sleep,500046127,Start cooking the meal,500053474,Ensure comfort in the living space,500054656,Lie down in the bed and relax until sleep occurs
1,1.0,500000997,Take a warm shower or bath if needed,500025972,Check current hunger level,500045288,Turn off all electronic devices,500046127,Monitor the cooking process and adjust as necessary,500053474,"Prepare the meal with suitable, nourishing ingredients",500054656,Stay home since location is already home
1,3601.0,500000997,Lie down in bed and relax,500025972,"If hungry, prepare ingredients",500045288,Start preparing a meal,500046127,Set the table with necessary utensils and cutlery,500053474,Heat up or serve the meal,500054656,Stay at home as per current location
1,7201.0,500000997,Close the curtains or shades for a dark room,500025972,Cook the meal,500045288,Set the table,500046127,Serve the meal and enjoy,500053474,Eat the meal at a comfortable dining time,500054656,Prepare the kitchen area
1,10801.0,500000997,Stay at home due to early hour and tranquility of the day,500025972,Serve the meal,500045288,Sit down and enjoy the meal,500046127,Ensure the bedroom is cool and comfortable,500053474,Wash the dishes post-meal,500054656,Select a simple meal plan
1,14401.0,500000997,Prepare a meal based on comfort food preferences for an elderly person,500025972,Eat the meal,500045288,Check if the bedroom is comfortable,500046127,Change into comfortable sleepwear,500053474,Clean up the dining area,500054656,Prepare the meal
1,18001.0,500000997,Enjoy the meal alone or with minimal noise to respect the quiet day,500025972,Wash dishes,500045288,Set up the sleep environment,500046127,Perform relaxation techniques to prepare for sleep,500053474,Prepare for sleep,500054656,Serve the meal
1,21601.0,500000997,Clean up after the meal,500025972,Assess current wakefulness and restfulness,500045288,Engage in a relaxing bedtime routine,500046127,Turn off all electronic devices to minimize light exposure,500053474,Set the alarm for the next day,500054656,Enjoy the meal
1,25201.0,500000997,Reflect on the tranquility of the day during the meal,500025972,Set the room to a comfortable temperature and lighting for sleeping,500045288,Lie down in the bed,500046127,Climb into bed and lie down,500053474,Lie down in bed,500054656,Wash dishes
1,28801.0,500000997,Prepare for the remainder of the day with a sense of contentment,500025972,Relax and prepare for sleep,500045288,Adjust the room temperature if necessary,500046127,Close your eyes and practice deep breathing to fall asleep,500053474,Relax and calm the mind,500054656,Rest from the morning activities
1,32401.0,500000997,Ensure comfort in the sleeping area,500025972,Lie down in the bed,500045288,Close the eyes and attempt to fall asleep,500046127,Start the day with a nutritious meal to align with the quiet and hopeful mood,500053474,Close the curtains to block light,500054656,Assess need for rest
1,36001.0,500000997,Prepare for sleep by calming the mind,500025972,Practice relaxation techniques or meditate to induce sleep,500045288,Enjoy the peaceful home atmosphere,500046127,"Review what's available at home for a meal, considering the simplicity of the day's thought process",500053474,Turn off the lights and get into a comfortable sleeping position,500054656,Set up a comfortable sleep environment
1,39601.0,500000997,Enter the bedroom,500025972,Close your eyes and allow yourself to fall asleep,500045288,Plan a meal that aligns with today's contentment,500046127,Prepare the meal with a focus on enjoying the act of cooking and the meal itself,500053474,Plan the meal options,500054656,Perform a calming pre-sleep routine
1,43201.0,500000997,Set the bed for comfort,500025972,Plan a simple meal considering current weather and temperature,500045288,Prepare and cook the meal with ease,500046127,"Eat the meal at home, reflecting on the simplicity and contentment of the day",500053474,Prepare the necessary ingredients and utensils,500054656,Lie down in bed
1,46801.0,500000997,Turn off all electronic devices,500025972,Prepare ingredients for the planned meal,500045288,Savor a satisfying meal,500046127,Take some time to relax and enjoy the meal without any rush or interruptions,500053474,Cook the meal,500054656,Close the window and curtains for darkness
1,50401.0,500000997,"Lie down and relax, preparing for sleep",500025972,Begin cooking the meal,500045288,Reflect on the day's events and feel relief,500046127,"Reflect on the meal and the simple pleasure it brings, reinforcing the hope for the day's continuation",500053474,Serve the meal,500054656,Adjust room temperature to be conducive for sleep
1,54001.0,500000997,Start preparing ingredients,500025972,Serve the meal in a comfortable setting at home,500045288,Conclude the meal with a feeling of fulfillment,500046127,Create a relaxing environment,500053474,Enjoy the meal,500054656,Ensure kitchen is prepared for cooking
1,57601.0,500000997,Cook a nutritious meal,500025972,Eat the meal at home,500045288,Ensure the environment is conducive to sleep,500046127,Prepare for bed by changing into comfortable pajamas,500053474,Wash the dishes and clean up,500054656,Prepare ingredients and cooking utensils
1,61201.0,500000997,Sit down at the dining table,500025972,Check for available ingredients at home,500045288,Prepare for bedtime,500046127,Engage in a calming activity,500053474,Set up a comfortable work environment,500054656,Begin cooking a home-cooked meal
1,64801.0,500000997,Enjoy the meal,500025972,Prepare ingredients and start cooking a meal,500045288,Lie down in a comfortable position,500046127,Dim the lights to signal the body to wind down,500053474,Review tasks or projects to be accomplished,500054656,Monitor cooking process and ensure food is cooked properly
1,68401.0,500000997,Wash dishes after eating,500025972,Ensure meal is properly cooked and seasoned,500045288,Set the alarm if necessary,500046127,Get into bed and assume a comfortable sleep position,500053474,Begin work on the first task,500054656,Set the table with appropriate utensils and plates
1,72001.0,500000997,Reflect on the meal and the day,500025972,Set a table with utensils and plates,500045288,Begin to relax mind and body,500046127,Focus on the present moment to help with relaxation,500053474,Take regular short breaks to rest,500054656,Serve and enjoy the meal at home
1,75601.0,500000997,Ensure a comfortable sleeping environment,500025972,Serve the meal,500045288,Close your eyes and drift off to sleep,500046127,Ensure the kitchen is prepared for cooking,500053474,Evaluate progress and plan for the next tasks,500054656,Set up a comfortable seating area
1,79201.0,500000997,Set the bedroom temperature to a comfortable level,500025972,Enjoy the meal alone or with companions,500045288,Assess if food is available at home,500046127,"Prepare and cook a simple, comforting meal",500053474,Prepare for bedtime,500054656,Prepares a calming drink or herbal tea
1,82801.0,500000997,Change into comfortable sleepwear,500025972,Prepare the sleeping environment,500045288,Prepare food or heat up leftovers,500046127,Serve the meal and make it presentable,500053474,Ensure comfort in sleeping environment,500054656,Prepare the sleeping environment
2,1.0,500000997,"Perform a relaxing activity, such as reading or listening to soothing music, to prepare for sleep",500025972,Ensure the bedroom is comfortable and conducive to sleep,500045288,Serve the food,500046127,Sit down and enjoy the meal in a relaxed manner,500053474,Begin winding down process,500054656,Engage in a calming activity to signal end of the day
2,3601.0,500000997,Review the day's accomplishments and reflect on the state of tranquility,500025972,Relax and unwind after a quiet day,500045288,Begin eating,500046127,Reflect on the day's events and feel the serenity of eating at home,500053474,Relax and reflect on the day,500054656,Gently transition to lying down
2,7201.0,500000997,Turn off all electronic devices and lie down in bed,500025972,Engage in a light activity to ease into sleep,500045288,Enjoy the meal in a relaxing atmosphere,500046127,Clean up after the meal to maintain a clean living environment,500053474,Set the alarm if necessary,500054656,Check comfort level and adjust if necessary
2,10801.0,500000997,Check if there are ingredients for a meal,500025972,Lie down in the bed,500045288,Clean up after eating,500046127,Relax and prepare for sleep,500053474,Lie down and go to sleep,500054656,Meditate or practice relaxation techniques to ease into sleep
2,14401.0,500000997,Prepare ingredients for cooking,500025972,Consciously decide to fall asleep,500045288,Set up a comfortable sleeping environment,500046127,Lie down in bed,500053474,Stay home as current location,500054656,Close eyes and settle into a sleep position
2,18001.0,500000997,Start cooking a meal,500025972,Prepare breakfast,500045288,Relax and unwind from the day,500046127,Set up a comfortable sleeping environment,500053474,Prepares meal ingredients,500054656,Start preparing breakfast
2,21601.0,500000997,Wait for the meal to be ready,500025972,Serve breakfast,500045288,Prepare to sleep by ensuring a calm state of mind,500046127,Turn off any devices or distractions,500053474,Prepare a meal based on available ingredients,500054656,Serve the breakfast
2,25201.0,500000997,Serve the cooked meal,500025972,Eat breakfast,500045288,Lie down in the bed,500046127,"Engage in a calming activity, such as reading or meditation",500053474,Consume the meal at home,500054656,Enjoy breakfast
2,28801.0,500000997,Enjoy the meal at home,500025972,Plan lunch,500045288,Close your eyes and focus on relaxation,500046127,Focus on falling asleep,500053474,Prepares for a home-cooked meal,500054656,Plan the day's meals considering health and nutrition
2,32401.0,500000997,Rest after the morning activity,500025972,Prepare lunch,500045288,Begin the sleep process,500046127,Start the day with a peaceful morning routine,500053474,Select and gather meal ingredients,500054656,Prepare lunch based on the meal plan
2,36001.0,500000997,Ensure a comfortable sleep environment,500025972,Enjoy lunch,500045288,Stay home and utilize available ingredients,500046127,Prepare and enjoy a nutritious home-cooked meal,500053474,Prepare the ingredients for cooking,500054656,Check internet connection stability
2,39601.0,500000997,Prepare a comfortable sleep environment,500025972,Relax and unwind,500045288,Plan a simple and comforting meal considering the quiet day,500046127,Reflect on the simplicity and peace of home-cooked meals,500053474,Start cooking the meal,500054656,Navigate to the online material upload platform
2,43201.0,500000997,Adjust to a quiet state of mind,500025972,Prepare the bedroom for sleep,500045288,Prepare the ingredients for cooking,500046127,Engage in light reading or other activities while eating,500053474,Serve the meal,500054656,Log in to the platform with necessary credentials
2,46801.0,500000997,Lie down in bed,500025972,Dim the lights in the room,500045288,Start cooking the planned meal,500046127,Take a short walk or relax in the garden,500053474,Enjoy the meal at home,500054656,Select and upload the required documents
2,50401.0,500000997,Set the alarm for an appropriate wake-up time,500025972,Lay down in bed,500045288,Ensure meal is cooked and served properly,500046127,End the meal with a moment of gratitude,500053474,Ensure a comfortable sleeping environment,500054656,Follow instructions to complete实名核验
2,54001.0,500000997,Relax and allow the body to unwind,500025972,Engage in light reading or meditation,500045288,Enjoy the meal at home,500046127,Ensure the environment is conducive to sleep,500053474,Prepare a comfortable sleep environment,500054656,Confirm successful completion of实名核验
2,57601.0,500000997,Initiate sleep,500025972,Close your eyes and prepare for sleep,500045288,Ensure the living space is comfortable for sleep,500046127,"Prepare for sleep (e.g., get into comfortable clothing, adjust room temperature)",500053474,Engage in relaxing activities before bedtime,500054656,"Prepare a meal as the day was tranquil and peaceful, which is a good time for a home-cooked meal"
2,61201.0,500000997,Prepares to have a home-cooked meal,500025972,Assess current home inventory,500045288,Prepare the environment for sleep,500046127,Wind down by engaging in a calming activity,500053474,Lie down in bed,500054656,Set the table with a pleasant ambiance to enhance the meal experience
2,64801.0,500000997,Start preparing the ingredients for the meal,500025972,Prepare ingredients,500045288,Prepare the sleeping environment,500046127,Lie down in bed at an appropriate time to allow for a full night's sleep,500053474,Set the alarm for a comfortable wake-up time,500054656,"Enjoy the meal at home, as it aligns with the current comfort and tranquility felt"
2,68401.0,500000997,Cook the meal in a comfortable and safe environment,500025972,Cook dinner,500045288,Relax in the comfort of home,500046127,Check my contacts list for friends to call,500053474,Begin to wind down and focus on sleep,500054656,"Reflect on the day's tranquility during the meal, as it promotes a sense of contentment"
2,72001.0,500000997,Sit down and enjoy the meal at home,500025972,Set table,500045288,Adjust to a calm and quiet state,500046127,Relax in a comfortable spot,500053474,Sleep for the necessary duration,500054656,"Clean up the meal, maintaining the peaceful home environment"
2,75601.0,500000997,Reflect on the meal and enjoy the quiet evening,500025972,Eat dinner,500045288,Select a comfortable reading spot at home,500046127,Enjoy the peaceful evening at home,500053474,Review available food at home,500054656,"Rest or engage in an activity that brings relaxation, to complete the tranquil day"
2,79201.0,500000997,Clean up after eating to maintain a comfortable home environment,500025972,Clean up after dinner,500045288,Begin reading a book of interest,500046127,Prepare a home-cooked meal,500053474,Prepare a simple meal considering the tranquility of the day,500054656,Prepare for rest
2,82801.0,500000997,Assess current comfort level,500025972,Prepare a comfortable chair for reading,500045288,Begin reading a book of interest,500046127,Relax and savor the meal,500053474,Enjoy the meal in a calm environment,500054656,Adjust room temperature if needed
3,1.0,500000997,Adjust bedding or open windows for temperature control if needed,500025972,Select a book to read,500045288,Prepare a playlist of soft music,500046127,Reflect on the day's simplicity,500053474,Reflect on the day's simplicity while eating,500054656,Dim the lights in the living area
3,3601.0,500000997,Engage in a calming activity to relax the mind,500025972,Begin reading,500045288,Play the music and relax,500046127,Plan for the next day,500053474,Wash the dishes after the meal,500054656,Ensure a comfortable sleep environment
3,7201.0,500000997,"Prepare for bed, ensuring all necessary items are within reach",500025972,Begin reading,500045288,Take a short break if needed,500046127,Clean up after eating,500053474,Relax in a comfortable chair with a cup of tea,500054656,Engage in a calming activity before bed
3,10801.0,500000997,Set the room to a suitable temperature and darkness level,500025972,Enjoy a cup of tea,500045288,Reflect on the day's events,500046127,Ensure the environment is conducive to sleep,500053474,Prepare for bed,500054656,Go to bed
3,14401.0,500000997,Lie down in bed and practice relaxation techniques,500025972,Set the room temperature to a comfortable level,500045288,Start the day with a light activity,500046127,Set the alarm clock for a wake-up time,500053474,Turn off the lights,500054656,"Stay at home due to the tranquil environment and current time, as it is early morning and home-cooked meals are preferable"
3,18001.0,500000997,Prepare the kitchen for meal preparation,500025972,Ensure the room is quiet and conducive to sleep,500045288,Prepare breakfast,500046127,Lie down in the bed,500053474,Adjust the room temperature to comfortable for sleep,500054656,Prepare ingredients and start cooking a meal
